# Skill Index

This index lists every mirrored skill in the bundle. The description comes from each skill's frontmatter, and the usage note is a short operational summary for the skill creator.

| Source | Skill | Description | How To Use | Path |
| agents | eval-forge | Generate evaluations, regression suites, prompt batteries, and pass/fail reports for routing, memory, identity, safety, and behavior. Use this skill when asked to "create an eval", "test prompts", "verify model behavior", or "benchmark performance". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/eval-forge/SKILL.md` |
| agents | fastapi-python | Expert in FastAPI Python development with best practices for APIs and async operations | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/fastapi-python/SKILL.md` |
| agents | fastapi-templates | Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/fastapi-templates/SKILL.md` |
| agents | find-skills | Helps users discover and install agent skills when they ask questions like "how do I do X", "find a skill for X", "is there a skill that can...", or express interest in extending capabilities. This skill should be used when the user is looking for functionality that might exist as an installable skill. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/find-skills/SKILL.md` |
| agents | frontend | Generic frontend development patterns for VeChain dApps — React Query, Turborepo architecture, state management, Chakra UI, i18n, loading states, and transaction UX. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/frontend/SKILL.md` |
| agents | memory-utility-maximizer | Autonomous graph-pruning and edge-hardening agent for MYELIN. Ranks memory utility based on retrieval success and prunes low-entropy strata. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/memory-utility-maximizer/SKILL.md` |
| agents | n8n-round-trip-manager | Version, export, import, validate, and restore n8n workflows. Use this skill when asked to "backup n8n", "deploy workflow", "import workflow", or "sync n8n". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/n8n-round-trip-manager/SKILL.md` |
| agents | neon-postgres | Guides and best practices for working with Neon Serverless Postgres. Covers getting started, local development with Neon, choosing a connection method, Neon features, authentication (@neondatabase/auth), PostgREST-style data API (@neondatabase/neon-js), Neon CLI, and Neon's Platform API/SDKs. Use for any Neon-related questions. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/neon-postgres/SKILL.md` |
| agents | omega-sid-orchestrator | Sovereign Intelligence Dashboard (SID) orchestrator. Coordinates Perplexity market search, Comet (Puppeteer) scraping, and Neon Postgres ingestion for industrial reconnaissance. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/omega-sid-orchestrator/SKILL.md` |
| agents | omega-sovereign-ui | Sovereign UI/UX standards and implementation for OmegA. Use for minimalist, high-impact interface design, CSS/TSX component styling, and guiding operator flow within the OmegA HUD. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/omega-sovereign-ui/SKILL.md` |
| agents | omega-web-tools | Unified web search (Perplexity) and browser automation (Comet) capabilities for real-time intelligence and automated tasks. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `agents/omega-web-tools/SKILL.md` |
| agents | omega-workflow-orchestrator | Automate complex, multi-step development workflows for OmegA by analyzing codebase state and orchestrating other skills. Use for high-level tasks like "implement feature X", "refactor module Y", "audit system Z", or "upgrade dependency W". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `agents/omega-workflow-orchestrator/SKILL.md` |
| agents | one-block-builder | Generate exact, reproducible shell scripts and one-line launch commands for system setup, validation, upgrades, and recovery. Use this skill when asked to "build X", "create a deployment script for Y", or "make Z reproducible". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/one-block-builder/SKILL.md` |
| agents | phylactery-cloner | Creates cryptographic snapshots of the identity kernel. Ensures RY's canonical intent is never lost during provider swaps or system migrations. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/phylactery-cloner/SKILL.md` |
| agents | prompt-forge | Prompt Forge is an autonomous engine designed to refine raw user intent into high-fidelity, OmegA-compliant prompts. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/prompt-forge/SKILL.md` |
| agents | provider-router-simulator | Stress-test routing, latency, quotas, and failover policy across local and cloud providers. Use this skill when asked to "simulate routing", "test failover", or "optimize model selection costs". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/provider-router-simulator/SKILL.md` |
| agents | repo-cartographer | Scan the repository, map modules, trace relationships, detect dead zones, and produce a living architecture manifest. Use this skill when asked to "map the repo", "find dead code", "audit dependencies", or "generate an architecture report". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/repo-cartographer/SKILL.md` |
| agents | secure-agent-mesh | Manage trust boundaries, authentication, registration, and security rules for local and LAN agent coordination. Use this skill when asked to "secure agent communication", "add node to mesh", or "configure trust". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/secure-agent-mesh/SKILL.md` |
| agents | senior-frontend | Comprehensive frontend development skill for building modern, performant web applications using ReactJS, NextJS, TypeScript, Tailwind CSS. Includes component scaffolding, performance optimization, bundle analysis, and UI best practices. Use when developing frontend features, optimizing performance, implementing UI/UX designs, managing state, or reviewing frontend code. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `agents/senior-frontend/SKILL.md` |
| agents | shadow-workflow-gen | This skill provides an automated Learning Layer that analyzes agent interaction history to identify, rank, and recommend high-performance tool and skill sequences. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/shadow-workflow-gen/SKILL.md` |
| agents | skill-architect | The `skill-architect` is a foundational skill used to bootstrap other highly autonomous, self-correcting agents within the OmegA ecosystem. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/skill-architect/SKILL.md` |
| agents | software-frontend | Production-grade frontend for Next.js, Vue, Angular, and Svelte. Use when building UI, fixing hydration errors, or setting up a new web project. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references, assets. | `agents/software-frontend/SKILL.md` |
| agents | sovereign-deployer | Governance-compliant deployment engine for OmegA Sovereign. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/sovereign-deployer/SKILL.md` |
| agents | spec-to-code-auditor | Compare architecture papers, README claims, canonical docs, and runtime code to detect mismatches. Use this skill when asked to "audit the implementation", "verify the spec", or "check compliance with the paper". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/spec-to-code-auditor/SKILL.md` |
| agents | synergistic-chain-optimizer | Evolutionary workflow engineer. Monitors successful tool sequences and 'mutates' them into higher-performing, shorter-latency chains. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/synergistic-chain-optimizer/SKILL.md` |
| agents | telegram-agent-ops | Provision, validate, and maintain the Telegram-facing portions of the agent mesh. Use this skill when asked to "deploy bot to Telegram", "check bot status", "update bot token", or "manage Telegram webhooks". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `agents/telegram-agent-ops/SKILL.md` |
| agents | teleodynamics-observer | Real-time system integrity monitor. Aggregates trace events across all layers to identify systemic 'authority shrink' before it causes failure. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/teleodynamics-observer/SKILL.md` |
| agents | vercel-composition-patterns | React composition patterns that scale. Use when refactoring components with boolean prop proliferation, building flexible component libraries, or designing reusable APIs. Triggers on tasks involving compound components, render props, context providers, or component architecture. Includes React 19 API changes. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/vercel-composition-patterns/SKILL.md` |
| agents | vercel-react-best-practices | React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, reviewing, or refactoring React/Next.js code to ensure optimal performance patterns. Triggers on tasks involving React components, Next.js pages, data fetching, bundle optimization, or performance improvements. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/vercel-react-best-practices/SKILL.md` |
| agents | vercel-react-native-skills | React Native and Expo best practices for building performant mobile apps. Use when building React Native components, optimizing list performance, implementing animations, or working with native modules. Triggers on tasks involving React Native, Expo, mobile performance, or native platform APIs. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `agents/vercel-react-native-skills/SKILL.md` |
| codex | agent-development | This skill should be used when the user asks to "create an agent", "add an agent", "write a subagent", "agent frontmatter", "when to use description", "agent examples", "agent tools", "agent colors", "autonomous agent", or needs guidance on agent structure, system prompts, triggering conditions, or agent development best practices for Claude Code plugins. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/agent-development/SKILL.md` |
| codex | algorithmic-art | Creating algorithmic art using p5.js with seeded randomness and interactive parameter exploration. Use this when users request creating art using code, generative art, algorithmic art, flow fields, or particle systems. Create original algorithmic art rather than copying existing artists' work to avoid copyright violations. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/algorithmic-art/SKILL.md` |
| codex | aspnet-core | Build, review, refactor, or architect ASP.NET Core web applications using current official guidance for .NET web development. Use when working on Blazor Web Apps, Razor Pages, MVC, Minimal APIs, controller-based Web APIs, SignalR, gRPC, middleware, dependency injection, configuration, authentication, authorization, testing, performance, deployment, or ASP.NET Core upgrades. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/aspnet-core/SKILL.md` |
| codex | brand-guidelines | Applies Anthropic's official brand colors and typography to any sort of artifact that may benefit from having Anthropic's look-and-feel. Use it when brand colors or style guidelines, visual formatting, or company design standards apply. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/brand-guidelines/SKILL.md` |
| codex | briefing | Get the OMEGA system briefing — current objectives, recent agent activity, and system status summary | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/briefing/SKILL.md` |
| codex | canvas-design | Create beautiful visual art in .png and .pdf documents using design philosophy. You should use this skill when the user asks to create a poster, piece of art, design, or other static piece. Create original visual designs, never copying existing artists' work to avoid copyright violations. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/canvas-design/SKILL.md` |
| codex | chatgpt-apps | Build, scaffold, refactor, and troubleshoot ChatGPT Apps SDK applications that combine an MCP server and widget UI. Use when Codex needs to design tools, register UI resources, wire the MCP Apps bridge or ChatGPT compatibility APIs, apply Apps SDK metadata or CSP or domain settings, or produce a docs-aligned project scaffold. Prefer a docs-first workflow by invoking the openai-docs skill or OpenAI developer docs MCP tools before generating code. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/chatgpt-apps/SKILL.md` |
| codex | claude-api | Build apps with the Claude API or Anthropic SDK. TRIGGER when: code imports `anthropic`/`@anthropic-ai/sdk`/`claude_agent_sdk`, or user asks to use Claude API, Anthropic SDKs, or Agent SDK. DO NOT TRIGGER when: code imports `openai`/other AI SDK, general programming, or ML/data-science tasks. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/claude-api/SKILL.md` |
| codex | claude-automation-recommender | Analyze a codebase and recommend Claude Code automations (hooks, subagents, skills, plugins, MCP servers). Use when user asks for automation recommendations, wants to optimize their Claude Code setup, mentions improving Claude Code workflows, asks how to first set up Claude Code for a project, or wants to know what Claude Code features they should use. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/claude-automation-recommender/SKILL.md` |
| codex | claude-md-improver | Audit and improve CLAUDE.md files in repositories. Use when user asks to check, audit, update, improve, or fix CLAUDE.md files. Scans for all CLAUDE.md files, evaluates quality against templates, outputs quality report, then makes targeted updates. Also use when the user mentions "CLAUDE.md maintenance" or "project memory optimization". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/claude-md-improver/SKILL.md` |
| codex | cloudflare-deploy | Deploy applications and infrastructure to Cloudflare using Workers, Pages, and related platform services. Use when the user asks to deploy, host, publish, or set up a project on Cloudflare. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references, assets. | `codex/cloudflare-deploy/SKILL.md` |
| codex | command-development | This skill should be used when the user asks to "create a slash command", "add a command", "write a custom command", "define command arguments", "use command frontmatter", "organize commands", "create command with file references", "interactive command", "use AskUserQuestion in command", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/command-development/SKILL.md` |
| codex | commit | Create a smart git commit following gAIng conventions — stages changes, writes a clear commit message, and optionally logs to ERGON.md | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/commit/SKILL.md` |
| codex | create-pr | Create a GitHub pull request with a well-structured description following gAIng conventions — analyzes commits and writes the PR body | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/create-pr/SKILL.md` |
| codex | deploy-to-vercel | Deploy applications and websites to Vercel. Use when the user requests deployment actions like "deploy my app", "deploy and give me the link", "push this live", or "create a preview deployment". | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/deploy-to-vercel/SKILL.md` |
| codex | develop-web-game | Use when Codex is building or iterating on a web game (HTML/JS) and needs a reliable development + testing loop: implement small changes, run a Playwright-based test script with short input bursts and intentional pauses, inspect screenshots/text, and review console errors with render_game_to_text. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/develop-web-game/SKILL.md` |
| codex | doc | Use when the task involves reading, creating, or editing `.docx` documents, especially when formatting or layout fidelity matters; prefer `python-docx` plus the bundled `scripts/render_docx.py` for visual checks. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/doc/SKILL.md` |
| codex | doc-coauthoring | Guide users through a structured workflow for co-authoring documentation. Use when user wants to write documentation, proposals, technical specs, decision docs, or similar structured content. This workflow helps users efficiently transfer context, refine content through iteration, and verify the doc works for readers. Trigger when user mentions writing docs, creating proposals, drafting specs, or similar documentation tasks. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/doc-coauthoring/SKILL.md` |
| codex | docx | Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files). Triggers include: any mention of 'Word doc', 'word document', '.docx', or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterheads. Also use when extracting or reorganizing content from .docx files, inserting or replacing images in documents, performing find-and-replace in Word files, working with tracked changes or comments, or converting content into a polished Word document. If the user asks for a 'report', 'memo', 'letter', 'template', or similar deliverable as a Word or .docx file, use this skill. Do NOT use for PDFs, spreadsheets, Google Docs, or general coding tasks unrelated to document generation. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/docx/SKILL.md` |
| codex | example-command | An example user-invoked skill that demonstrates frontmatter options and the skills/<name>/SKILL.md layout | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/example-command/SKILL.md` |
| codex | example-skill | This skill should be used when the user asks to "demonstrate skills", "show skill format", "create a skill template", or discusses skill development patterns. Provides a reference template for creating Claude Code plugin skills. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/example-skill/SKILL.md` |
| codex | figma | Use the Figma MCP server to fetch design context, screenshots, variables, and assets from Figma, and to translate Figma nodes into production code. Trigger when a task involves Figma URLs, node IDs, design-to-code implementation, or Figma MCP setup and troubleshooting. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/figma/SKILL.md` |
| codex | figma-implement-design | Translate Figma nodes into production-ready code with 1:1 visual fidelity using the Figma MCP workflow (design context, screenshots, assets, and project-convention translation). Trigger when the user provides Figma URLs or node IDs, or asks to implement designs or components that must match Figma specs. Requires a working Figma MCP server connection. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/figma-implement-design/SKILL.md` |
| codex | forward | Forward a task to another agent (Aider for implementation,  for strategy, Codex for architecture) via the OMEGA orchestrator | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/forward/SKILL.md` |
| codex | frontend-design | Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, or applications. Generates creative, polished code that avoids generic AI aesthetics. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/frontend-design/SKILL.md` |
| codex | gains | Show the gAIng's collective accomplishments and wins — extracts completed work from ERGON.md and celebrates progress | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/gains/SKILL.md` |
| codex | gh-address-comments | Help address review/issue comments on the open GitHub PR for the current branch using gh CLI; verify gh auth first and prompt the user to authenticate if not logged in. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/gh-address-comments/SKILL.md` |
| codex | gh-fix-ci | Use when a user asks to debug or fix failing GitHub PR checks that run in GitHub Actions; use `gh` to inspect checks and logs, summarize failure context, draft a fix plan, and implement only after explicit approval. Treat external providers (for example Buildkite) as out of scope and report only the details URL. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts. | `codex/gh-fix-ci/SKILL.md` |
| codex | hook-development | This skill should be used when the user asks to "create a hook", "add a PreToolUse/PostToolUse/Stop hook", "validate tool use", "implement prompt-based hooks", "use ${CLAUDE_PLUGIN_ROOT}", "set up event-driven automation", "block dangerous commands", or mentions hook events (PreToolUse, PostToolUse, Stop, SubagentStop, SessionStart, SessionEnd, UserPromptSubmit, PreCompact, Notification). Provides comprehensive guidance for creating and implementing Claude Code plugin hooks with focus on advanced prompt-based hooks API. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/hook-development/SKILL.md` |
| codex | imagegen | Use when the user asks to generate or edit images via the OpenAI Image API (for example: generate image, edit/inpaint/mask, background removal or replacement, transparent background, product shots, concept art, covers, or batch variants); run the bundled CLI (`scripts/image_gen.py`) and require `OPENAI_API_KEY` for live calls. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references. | `codex/imagegen/SKILL.md` |
| codex | internal-comms | A set of resources to help me write all kinds of internal communications, using the formats that my company likes to use. Claude should use this skill whenever asked to write some sort of internal communications (status reports, leadership updates, 3P updates, company newsletters, FAQs, incident reports, project updates, etc.). | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/internal-comms/SKILL.md` |
| codex | jupyter-notebook | Use when the user asks to create, scaffold, or edit Jupyter notebooks (`.ipynb`) for experiments, explorations, or tutorials; prefer the bundled templates and run the helper script `new_notebook.py` to generate a clean starting notebook. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with scripts, references, assets. | `codex/jupyter-notebook/SKILL.md` |
| codex | linear | Manage issues, projects & team workflows in Linear. Use when the user wants to read, create or updates tickets in Linear. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/linear/SKILL.md` |
| codex | log | Append a log entry to ~/NEXUS/ERGON.md (The Block) — records significant actions for multi-agent coordination | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/log/SKILL.md` |
| codex | mcp-builder | Guide for creating high-quality MCP (Model Context Protocol) servers that enable LLMs to interact with external services through well-designed tools. Use when building MCP servers to integrate external APIs or services, whether in Python (FastMCP) or Node/TypeScript (MCP SDK). | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/mcp-builder/SKILL.md` |
| codex | mcp-integration | This skill should be used when the user asks to "add MCP server", "integrate MCP", "configure MCP in plugin", "use .mcp.json", "set up Model Context Protocol", "connect external service", mentions "${CLAUDE_PLUGIN_ROOT} with MCP", or discusses MCP server types (SSE, stdio, HTTP, WebSocket). Provides comprehensive guidance for integrating Model Context Protocol servers into Claude Code plugins for external tool and service integration. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/mcp-integration/SKILL.md` |
| codex | netlify-deploy | Deploy web projects to Netlify using the Netlify CLI (`npx netlify`). Use when the user asks to deploy, host, publish, or link a site/repo on Netlify, including preview and production deploys. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with references. | `codex/netlify-deploy/SKILL.md` |
| codex | notion-knowledge-capture | Capture conversations and decisions into structured Notion pages; use when turning chats/notes into wiki entries, how-tos, decisions, or FAQs with proper linking. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It ships with assets. | `codex/notion-knowledge-capture/SKILL.md` |
| codex | notion-meeting-intelligence | Prepare meeting materials with Notion context and Codex research; use when gathering context, drafting agendas/pre-reads, and tailoring materials to attendees. | Open the skill when the task matches its trigger description. Read SKILL.md first, then follow the workflow and only load bundled resources if the task needs them. It is a self-contained guidance skill. | `codex/notion-meeting-intelligence/SKILL.md` |
